SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
CC1=CC(C(=O)O)=C(C)N1C=2C=CC=CN2,True,1,3,1,2,0,0,0,2,2,2,4,16,0.16666666666666666,55.12,2.18734,216.24,216.089877624,0
CC(C)(C)C(=O)NC=1C=CC=C(C1)C(=O)O,True,2,2,1,1,0,0,0,2,1,1,4,16,0.3333333333333333,66.4,2.3693999999999997,221.256,221.10519334,0
CC1=C(C=NN1C=2C=CC(Cl)=CC2)C(=O)O,True,1,3,1,2,0,0,1,2,2,2,5,16,0.09090909090909091,55.120000000000005,2.5323200000000003,236.658,236.035255208,0
CC1=CC=C(C)N1C2=NC(=CS2)CC(=O)O,True,1,4,2,2,0,0,0,3,2,2,5,16,0.2727272727272727,55.120000000000005,2.1777399999999996,236.29600000000002,236.061948624,0
CC1=C(C=NN1C2=CC=CC=C2C)C(=O)O,True,1,3,1,2,0,0,0,2,2,2,4,16,0.16666666666666666,55.120000000000005,2.18734,216.23999999999998,216.089877624,0
CC=1ON=C(C1C(=O)O)C=2C=CC=CC2Cl,True,1,3,1,2,0,0,1,2,2,2,5,16,0.09090909090909091,63.33,3.001620000000001,237.642,237.019270796,0
Cl.CC1=NC=2C=CC=CC2C(=O)N1CC(=O)O,True,1,4,2,1,0,0,1,2,2,2,6,17,0.18181818181818182,72.19,1.2113199999999995,254.67299999999997,254.045819892,0
O=C(O)CN1C=NC=2C=CC(F)=CC2C1=O,True,1,4,2,1,0,0,1,2,2,2,6,16,0.1,72.19,0.6202000000000001,222.17499999999998,222.044070304,0
CC1CCN(CC1)C=2C=CC(=CN2)C(=O)O,True,1,3,1,1,0,0,0,2,2,1,4,16,0.5,53.43000000000001,2.0161,220.272,220.121177752,0
O=C(O)C=1C=CC(=CC1)N2CCC(O)CC2,True,2,3,1,1,0,0,0,2,2,1,4,16,0.4166666666666667,60.769999999999996,1.3458999999999999,221.25599999999991,221.10519334,0
Cl.O=C(O)C=1C=CC=C(C1)CN2CCCCC2,True,1,2,1,1,0,0,1,3,2,1,4,17,0.46153846153846156,40.54,2.7925000000000013,255.74499999999992,255.102606496,0
O=C(O)C1(CCOCC1)C=2C=CC=C(Cl)C2,True,1,2,2,1,0,0,1,2,2,1,4,16,0.4166666666666667,46.53,2.472800000000001,240.686,240.055321956,0
O=C(O)C1=CNN=C1C=2C(F)=CC=CC2F,True,2,2,1,2,0,0,2,2,2,2,6,16,0.0,65.97999999999999,2.0531,224.166,224.039733872,0
CC=1C=C(F)C=CC1N2C=CC(=N2)C(=O)O,True,1,3,1,2,0,0,1,2,2,2,5,16,0.09090909090909091,55.120000000000005,2.0180199999999995,220.203,220.064805748,0
NC1=NC=C(CC2=CC=CC(=C2)C(=O)O)S1,True,2,4,2,2,0,0,0,3,2,2,5,16,0.09090909090909091,76.21,2.0143,234.28,234.04629856,0
O=C(O)C1=NN(C=C1O)C=2C=CC=C(F)C2,True,2,4,1,2,0,0,1,2,2,2,6,16,0.0,75.35,1.4151999999999998,222.175,222.044070304,0
CC1=C(N=NN1C2=CC=CC(Cl)=C2)C(=O)O,True,1,4,1,2,0,0,1,2,2,2,6,16,0.1,68.01,1.9273199999999997,237.646,237.030504176,0
CC(=O)N1CCCC=2C=C(C=CC21)C(=O)O,True,1,2,1,1,0,0,0,1,2,1,4,16,0.3333333333333333,57.61,1.6839000000000002,219.24,219.089543276,0
O=C(O)C1CC(=NO1)C2=CC(F)=CC=C2F,True,1,3,2,1,0,0,2,2,2,1,6,16,0.2,58.89,1.5424000000000002,227.166,227.039399524,1
CC1=C(C=NN1C2=CC=CC=C2Cl)C(=O)O,True,1,3,1,2,0,0,1,2,2,2,5,16,0.09090909090909091,55.120000000000005,2.5323200000000003,236.658,236.035255208,0
CC(C)C(=O)NC1=CC=CC(F)=C1C(=O)O,True,2,2,1,1,0,0,1,3,1,1,5,16,0.2727272727272727,66.4,2.1184,225.21899999999997,225.080121464,0
CC=1C=CC=C(C1)CN2C=C(C=N2)C(=O)O,True,1,3,2,2,0,0,0,3,2,2,4,16,0.16666666666666666,55.120000000000005,1.93802,216.24,216.089877624,0
O=C(O)C=1C=NN(C1)CC=2C=CC=C(Cl)C2,True,1,3,2,2,0,0,1,3,2,2,5,16,0.09090909090909091,55.12,2.2830000000000004,236.65800000000002,236.035255208,0
O=C(O)C1=CN=C(S1)C2=CC=C(F)C(F)=C2,True,1,3,1,2,0,0,2,2,2,2,6,16,0.0,50.19,2.7865,241.218,241.00090584,0
O=C(O)C1CC1C=2C=CC=3OCCOC3C2,True,1,3,2,1,0,0,0,2,3,1,4,16,0.4166666666666667,55.760000000000005,1.6459,220.22399999999996,220.073558864,2
O=C(O)CCN1C(=O)C2=CC=CN=C2C1=O,True,1,4,2,1,0,0,0,3,2,1,6,16,0.2,87.57,0.15230000000000032,220.18400000000003,220.048406736,0
O=C(O)C1=CC(=O)N(N1)C=2C=CC(Cl)=CC2,True,2,3,1,2,0,0,1,2,2,2,6,16,0.0,75.09,1.5171999999999997,238.63000000000002,238.014519764,0
O=C(O)C=1C=CC=CC1OC=2C=CC=CN2,True,1,3,1,2,0,0,0,3,2,2,4,16,0.0,59.42,2.5721000000000007,215.208,215.058243148,0
O=C(O)C1(CC1)C(=O)NC=2C=CC=C(F)C2,True,2,2,2,1,0,0,1,3,2,1,5,16,0.2727272727272727,66.39999999999999,1.629,223.203,223.0644714,0
CCN1C=NN=C1C=2C=CC(=CC2)C(=O)O,True,1,4,1,2,0,0,0,3,2,2,5,16,0.18181818181818182,68.01,1.6631999999999998,217.228,217.085126592,0
O=C(O)C=1C=C(C=CC1Cl)C=2C=CC=CN2,True,1,2,1,2,0,0,1,2,2,2,4,16,0.0,50.19,3.100200000000001,233.654,233.024356176,0
CC(C)N1C=C(CC(=O)O)C2=CC=CC=C21,True,1,2,2,1,0,0,0,3,2,2,3,16,0.3076923076923077,42.230000000000004,2.8493000000000004,217.268,217.11027872,0
O=C(O)C=1C=CN2C=C(N=C2C1)C(F)(F)F,True,1,3,1,1,0,0,3,1,2,2,7,16,0.1111111111111111,54.599999999999994,2.0513,230.14499999999995,230.03031206,0
O=C(O)C1=CN(C=N1)C2=NC(=NS2)C3CC3,True,1,6,1,2,0,0,0,3,3,2,7,16,0.3333333333333333,80.89999999999999,1.2993999999999999,236.25599999999997,236.036796496,0
Cl.CC=1C=CC(=CC1)C2(CCNCC2)C(=O)O,True,2,2,2,1,0,0,1,2,2,1,4,17,0.46153846153846156,49.33,2.1226199999999995,255.74499999999992,255.102606496,0
CN1C=CC(=N1)NC=2C=CC(=CC2)C(=O)O,True,2,4,1,2,0,0,0,3,2,2,5,16,0.09090909090909091,67.15,1.8618999999999999,217.228,217.085126592,0
CCC1=C(C)N=C2C=CC=CC2=C1C(=O)O,True,1,2,1,1,0,0,0,2,2,2,3,16,0.23076923076923078,50.19,2.803820000000001,215.25199999999998,215.094628656,0
C[C@H](OC1=CC=C2C=CC=CC2=C1)C(=O)O,True,1,2,2,1,0,0,0,3,2,2,3,16,0.15384615384615385,46.53,2.6917,216.23599999999996,216.078644244,1
CC1=NN(C=C1C=2C=CC=CC2)CC(=O)O,True,1,3,2,2,0,0,0,3,2,2,4,16,0.16666666666666666,55.120000000000005,1.9431199999999997,216.23999999999998,216.089877624,0
CC1=C(C=CC2=CN=C(C3CC3)N12)C(=O)O,True,1,3,1,1,0,0,0,2,3,2,4,16,0.3333333333333333,54.60000000000001,2.21832,216.23999999999998,216.089877624,0
CC1=CN(N=C1C(=O)O)C=2C=CC(F)=CC2,True,1,3,1,2,0,0,1,2,2,2,5,16,0.09090909090909091,55.120000000000005,2.01802,220.203,220.064805748,0
O=C(O)C1CCC(CC1)OC2CCOCC2,True,1,3,1,0,0,0,0,3,2,0,4,16,0.9166666666666666,55.760000000000005,1.8254,228.28799999999995,228.13615912,0
NC=1N=CC(=CC1C=2C=CC=CC2)C(=O)O,True,2,3,1,2,0,0,0,2,2,2,4,16,0.0,76.21,2.029,214.224,214.07422756,0
CC1=CN(N=C1C(F)(F)F)C(C)(C)C(=O)O,True,1,3,2,1,0,0,3,2,1,1,7,16,0.5555555555555556,55.120000000000005,2.03002,236.19299999999998,236.077262252,0
CC=1C=CC(=CC1)CN2CC(CC2=O)C(=O)O,True,1,2,3,1,0,0,0,3,2,1,4,17,0.38461538461538464,57.61,1.42812,233.26699999999997,233.10519334,1
CC(=O)NC12CC3CC(C1)CC(C3)(C2)C(=O)O,True,2,2,2,0,0,0,0,2,4,0,4,17,0.8461538461538461,66.4,1.5461000000000003,237.29899999999992,237.136493468,2
C=CCN1C(=O)C2=CC=C(C=C2C1=O)C(=O)O,True,1,3,1,1,0,0,0,3,2,1,5,17,0.08333333333333333,74.68,1.1668,231.20699999999997,231.053157768,0
O=C(O)C1=CN=C2C=CC=CC2=C1C(F)(F)F,True,1,2,1,1,0,0,3,1,2,2,6,17,0.09090909090909091,50.19,2.9518000000000004,241.16799999999995,241.035063092,0
O=C(O)C1CC=CCC1C(=O)N2CCOCC2,True,1,3,2,0,0,0,0,2,2,0,5,17,0.6666666666666666,66.84,0.5122,239.27099999999993,239.115758024,2
CCC=1C=CC=C(C1)N2CC(CC2=O)C(=O)O,True,1,2,2,1,0,0,0,3,2,1,4,17,0.38461538461538464,57.61,1.6864999999999999,233.26699999999994,233.10519334,1
O=C(O)C1CC(=O)N(CC=2C=CC=CC2F)C1,True,1,2,3,1,0,0,1,3,2,1,5,17,0.3333333333333333,57.61,1.2588000000000001,237.23,237.080121464,1
CC1=CC(C(=O)O)=C(C)N1CC2=CC=CC=N2,True,1,3,2,2,0,0,0,3,2,2,4,17,0.23076923076923078,55.12,2.2464400000000007,230.267,230.105527688,0
O=C(O)C=1C=NC2=C(C=NN2C3CCCC3)C1,True,1,4,1,1,0,0,0,2,3,2,5,17,0.4166666666666667,68.00999999999999,2.2446,231.25499999999994,231.100776656,0
COC=1C=CC(C2=CC(=NO2)C(=O)O)=C(F)C1,True,1,4,1,2,0,0,1,3,2,2,6,17,0.09090909090909091,72.56,2.1875,237.18599999999995,237.043735956,0
CCC(C)N1N=CC2=C(C=C(C)N=C21)C(=O)O,True,1,4,1,1,0,0,0,3,2,2,5,17,0.4166666666666667,68.01,2.40892,233.271,233.11642672,1
CC=1C=C(N2N=C(C=C2N1)C(=O)O)C(F)(F)F,True,1,4,1,1,0,0,3,1,2,2,8,17,0.2222222222222222,67.49000000000001,1.75472,245.15999999999997,245.041211092,0
O=C(O)C1=CC=2C(=CC(=O)NC2O1)C(F)(F)F,True,2,3,1,1,0,0,3,1,2,2,8,17,0.1111111111111111,83.3,1.8381,247.12799999999996,247.009242268,0
CC(C)(C)C(=O)NCC=1C=CC(=CC1)C(=O)O,True,2,2,2,1,0,0,0,3,1,1,4,17,0.38461538461538464,66.4,2.0471,235.28300000000002,235.120843404,0
O=C(O)CC1=CC(=O)N(N1)C=2C=CC(F)=CC2,True,2,3,2,2,0,0,1,3,2,2,6,17,0.09090909090909091,75.09,0.9317999999999996,236.202,236.059720368,0
CC=1C=CC(Cl)=CC1N2CC(CC2=O)C(=O)O,True,1,2,2,1,0,0,1,2,2,1,5,17,0.3333333333333333,57.61,2.0859199999999998,253.68499999999997,253.050570924,1
