SMILES,Valid,HBD,HBA,ConjSystems,AroSystems,ChargedAtoms,TotalFormalCharge,Halogens,RotBonds,RingCount,AroRingCount,HeteroAtoms,HeavyAtoms,FracCsp3,TPSA,cLogP,MolWt,ExactMass,ChiralCenters
c1nccc(c1[*])Nc2cc(C)ccc2,TRUE,1,2,1,2,0,0,0,2,2,2,3,14,0.083333333,24.92,2.30822,183.234,183.0922234,0
c1cc(F)ccc1[4*],TRUE,0,0,1,1,0,0,1,0,1,1,2,7,0,0,1.0003,95.096,95.02970335,0
N#C[17*],TRUE,0,1,0,0,0,0,0,0,0,0,2,2,0,23.79,0.01678,26.018,26.003074,0
CN1[C@@H]([9*])CCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,6,1,3.24,0.5874,84.142,84.08132432,1
C/N=C(/N[3*])NC,TRUE,2,1,1,0,0,0,0,0,0,0,4,6,0.666666667,36.42,-0.7545,86.118,86.07182226,0
[7*]C1CCCCC1,TRUE,0,0,0,0,0,0,0,0,1,0,1,6,1,0,2.2883,83.154,83.08607535,0
CC([6*])(C)C,TRUE,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1.7541,57.116,57.07042529,0
[20*]NC(=O)c1c(C)c(O)ccc1,TRUE,2,2,1,1,0,0,0,1,1,1,4,11,0.125,49.33,0.89472,150.157,150.0555035,0
C1=CC(=O)C=C([C@@H](F)C2)[C@@]1(C)[C@@](F)([C@@H](O)C3)[C@@H]2[C@@H]([C@]34C)C[C@H](C)[C@@]4([21*])O,TRUE,2,3,1,0,0,0,2,0,4,0,6,25,0.75,57.53,2.7891,351.413,351.1771761,9
[6*][C@@H]1[C@H](O)Cc(c12)cccc2,TRUE,1,1,1,1,0,0,0,0,2,1,2,10,0.333333333,20.23,1.194,133.17,133.0653399,2
O1C[C@@H]([13*])OC12CCCCC2,TRUE,0,2,0,0,0,0,0,0,2,0,3,10,1,18.46,1.569,141.19,141.0915547,1
[14*][C@H]1OC(=O)C[C@H](O)C1,TRUE,1,3,1,0,0,0,0,0,1,0,4,8,0.8,46.53,-0.4403,115.108,115.0395191,2
Cl[C@@H](F)[7*],TRUE,0,0,0,0,0,0,2,0,0,0,3,3,1,0,1.0276,67.47,66.97508093,1
c1sc(N)nc1[25*],TRUE,1,3,1,1,0,0,0,0,1,1,4,6,0,38.91,-0.1001,99.138,99.0016941,0
O=S(=O)([18*])N,TRUE,1,2,0,0,0,0,0,0,0,0,5,4,0,60.16,-1.2608,80.088,79.9806243,0
ClC[11*],TRUE,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0.732,49.48,48.98450274,0
[5*][C@@H]1OCCNC1,TRUE,1,2,0,0,0,0,0,0,1,0,3,6,1,21.26,-0.5184,86.114,86.06058888,1
c1c([15*])c(=O)[nH]c(C)c1-c2ccncc2,TRUE,1,2,1,2,0,0,0,1,2,2,4,14,0.090909091,45.75,0.91992,185.206,185.0714879,0
BrC[12*],TRUE,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0.8881,93.931,92.93398716,0
c1ccnc(N2[5*])c1C(=O)Nc(c23)c(C)ccn3,TRUE,1,4,1,2,0,0,0,0,3,2,6,17,0.083333333,58.12,1.95312,225.231,225.0776359,0
[9*]Cn1ccnc1,TRUE,0,2,1,1,0,0,0,1,1,1,3,6,0.25,17.82,0.3899,81.098,81.04527316,0
[15*]c1c(Cl)cc(Cl)cc1,TRUE,0,0,1,1,0,0,2,0,1,1,3,8,0,0,2.168,145.996,144.9611805,0
C1=CC(=O)C=C(C[C@H]2Cl)[C@@]1(C)[C@@H]([C@@H](O)C3)[C@@H]2[C@@H]([C@]34C)C[C@@H](C)[C@@]4([20*])O,TRUE,2,3,1,0,0,0,1,0,4,0,5,24,0.75,57.53,2.9663,349.878,349.1570474,9
[8*]C=C,TRUE,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.6792,27.046,27.0234751,0
Clc(n1)nc(N)c(c12)ncn2[C@@H]3O[C@H]([13*])[C@@H](O)C3,TRUE,2,7,1,1,0,0,1,1,3,2,9,17,0.444444444,99.08,0.2171,254.657,254.0444772,3
[14*]Oc1c(OC)cccc1,TRUE,0,2,1,1,0,0,0,2,1,1,3,9,0.142857143,18.46,1.5383,123.131,123.0446045,0
O=C([12*])Nc1c(C)cccc1C,TRUE,1,1,1,1,0,0,0,1,1,1,3,11,0.222222222,29.1,2.38464,148.185,148.0762389,0
c1cccc(c12)snc2N(CC3)CCN3[11*],TRUE,0,4,1,1,0,0,0,1,3,2,5,15,0.363636364,19.37,1.8826,218.305,218.0751934,0
c1c([12*])c(Cl)cc(c12)NC(=O)C2,TRUE,1,1,1,1,0,0,1,0,2,1,4,11,0.125,29.1,1.0092,166.587,166.0059665,0
CN1C[C@H]([17*])C=C([C@H]12)c3c4c(C2)cn(C)c4ccc3,TRUE,0,2,1,1,0,0,0,0,4,2,3,18,0.375,8.17,2.7696,237.326,237.1391735,2
Ic(c1)c(=O)[nH]c(=O)n1[C@H](O[C@@H]2[12*])C[C@@H]2O,TRUE,2,5,1,1,0,0,1,1,2,1,8,15,0.5,84.32,-0.7036,323.066,322.9528797,3
c1cc(N)ccc1[*],TRUE,1,1,1,1,0,0,0,0,1,1,2,7,0,26.02,0.4434,92.121,92.05002419,0
[19*][C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H]([C@@H](O)C2)[C@]4(C)C([C@H](C3)C)=CC(=O)CC4,TRUE,1,2,1,0,0,0,0,0,4,0,3,22,0.85,37.3,4.0729,301.45,301.2167552,8
O=C([10*])C,TRUE,0,1,0,0,0,0,0,0,0,0,2,3,0.5,17.07,0.0822,43.045,43.01838972,0
[*]Nc1onc(C)c1C,TRUE,1,3,1,1,0,0,0,1,1,1,4,8,0.4,38.06,1.16764,111.124,111.0558378,0
C\C=C\C(=O)N([3*])c1c(C)cccc1,TRUE,0,1,1,1,0,0,0,2,1,1,3,13,0.181818182,20.31,2.36842,174.223,174.091889,0
Oc1c([6*])c(=O)oc(c12)cccc2,TRUE,1,3,1,1,0,0,0,0,2,2,4,12,0,50.44,0.6732,161.136,161.023869,0
Cn1nnnc1[1*],TRUE,0,4,1,1,0,0,0,0,1,1,5,6,0.5,43.6,-1.6153,83.074,83.0357711,0
c1sc(N)nc1C(\C(=O)N[18*])=N\OC,TRUE,2,6,1,1,0,0,0,3,1,1,8,13,0.166666667,89.6,-0.3437,199.215,199.0289715,0
O=C(C1)Nc(c12)cccc2[4*],TRUE,1,1,1,1,0,0,0,0,2,1,3,10,0.125,29.1,0.3558,132.142,132.0449388,0
n1onc(c12)cccc2[8*],TRUE,0,3,1,1,0,0,0,0,2,2,4,9,0,38.92,0.3974,119.103,119.0245377,0
[3*]c1[nH]ncc1,TRUE,1,1,1,1,0,0,0,0,1,1,3,5,0,28.68,-0.4157,67.071,67.0296231,0
O1C(C)(C)O[C@H]([C@]12[17*])[C@H]3[C@@H](CO2)OC(O3)(C)C,TRUE,0,5,0,0,0,0,0,0,3,0,6,16,1,46.15,0.8913,229.252,229.1075986,4
c1cc(N[*])cc(OC)c1Nc2c(cccc3)c3nc(c24)cccc4,TRUE,2,4,1,2,0,0,0,4,4,4,5,24,0.05,46.18,5.0164,314.368,314.1293371,0
N1C[C@H](C)Cc(c12)cccc2[*],TRUE,1,1,1,1,0,0,0,0,2,1,2,11,0.4,12.03,1.4653,146.213,146.0969744,1
[8*]c1cc(I)c(c(I)c1)Oc2cc(I)c(O)cc2,TRUE,1,2,1,2,0,0,3,2,2,2,6,17,0,29.46,4.1729,562.89,562.7501984,0
[4*]c1ncccc1,TRUE,0,1,1,1,0,0,0,0,1,1,2,6,0,12.89,0.2562,78.094,78.03437413,0
[O-]P(=O)([10*])O,TRUE,1,2,0,0,1,-1,0,0,0,0,5,4,0,60.36,-1.0036,79.979,79.9668791,1
[NH3+]C[11*],TRUE,1,0,0,0,1,1,0,0,0,0,2,2,1,27.64,-1.2649,31.058,31.04165058,0
OC1([4*])CCCCC1,TRUE,1,1,0,0,0,0,0,0,1,0,2,7,1,20.23,1.1884,99.153,99.08098997,0
c1cc(OC)ccc1[4*],TRUE,0,1,1,1,0,0,0,1,1,1,2,8,0.142857143,9.23,0.8698,107.132,107.0496898,0
[30*]OC(=O)C,TRUE,0,2,1,0,0,0,0,0,0,0,3,4,0.5,26.3,0.0138,59.044,59.01330434,0
C1=CC(=O)C=C(CC2)[C@@]1(C)[C@@](F)([C@@H](O)C3)[C@@H]2[C@H](C[C@H]4O5)[C@@]3(C)[C@]4([21*])OC56CCCC6,TRUE,1,4,1,0,0,0,1,0,6,0,6,29,0.791666667,55.76,3.8984,401.498,401.2128127,8
[2*]Oc1c(C)cccc1,TRUE,0,1,1,1,0,0,0,1,1,1,2,8,0.142857143,9.23,1.83812,107.132,107.0496898,0
[5*]NC,TRUE,1,1,0,0,0,0,0,0,0,0,2,2,1,12.03,-0.3299,30.05,30.03437413,0
O=c1nc(C)[nH]c(c12)ccc([11*])c2,TRUE,1,2,1,1,0,0,0,0,2,2,4,12,0.111111111,45.75,0.40612,159.168,159.0558378,0
[7*]N1CCN(CC1)c2c(C)cccc2,TRUE,0,2,1,1,0,0,0,1,2,1,3,13,0.454545455,6.48,1.58132,175.255,175.1235235,0
[10*]c1nnc(n12)CCCC2,TRUE,0,3,1,1,0,0,0,0,2,1,4,9,0.666666667,30.71,-0.211,122.151,122.0718223,0
[nH]1c(N)nc(=O)c(c12)ncn2C[9*],TRUE,2,5,1,1,0,0,0,1,2,2,7,12,0.166666667,89.59,-0.7914,164.148,164.0572348,0
Fc1cccc(Cl)c1-c(c2C(=O)N[14*])noc2C,TRUE,1,3,1,2,0,0,2,2,2,2,7,17,0.090909091,55.13,2.63662,253.64,253.0180084,0
O=C([24*])Nc1cc(C(=O)O)ccc1,TRUE,2,2,1,1,0,0,0,2,1,1,5,12,0,66.4,1.466,164.14,164.0347681,0
[16*]OC(=O)N,TRUE,1,2,1,0,0,0,0,0,0,0,4,4,0,52.32,-0.454,60.032,60.0085533,0
O[C@]1([10*])NC(=O)c(c12)cccc2,TRUE,2,2,1,1,0,0,0,0,2,1,4,11,0.125,49.33,0.0819,148.141,148.0398534,1
C1OC(=O)N[C@H]1[6*],TRUE,1,2,1,0,0,0,0,0,1,0,4,6,0.666666667,38.33,-0.3984,86.07,86.02420337,1
c1cc(F)c(Cl)cc1Nc2ncnc(c23)cc(OC)c(O[15*])c3,TRUE,1,5,1,2,0,0,2,4,3,3,8,22,0.066666667,56.27,4.0176,318.715,318.0445575,0
C1COCCN1[9*],TRUE,0,2,0,0,0,0,0,0,1,0,3,6,1,12.47,-0.2171,86.114,86.06058888,0
C1[C@@H]([27*])CN(C)[C@@H]([C@H]12)Cc3c4c2cccc4[nH]c3,TRUE,1,1,1,1,0,0,0,0,4,2,3,17,0.466666667,19.03,2.8495,225.315,225.1391735,3
c1cccc(CC2)c1C(=C[9*])c(c23)cccc3,TRUE,0,0,1,2,0,0,0,0,3,2,1,16,0.125,0,3.7237,205.28,205.1017254,0
Fc(c1)c(=O)[nH]c(=O)n1[C@H](O[C@@H]2[12*])C[C@@H]2O,TRUE,2,5,1,1,0,0,1,1,2,1,8,15,0.5,84.32,-1.1691,215.16,215.04681,3
C1=CC(=O)C=C([C@H](C2)C)[C@@]1(C)[C@@](F)([C@@H](O)C3)[C@@H]2[C@@H]([C@]34C)CC[C@@]4([19*])O,TRUE,2,3,1,0,0,0,1,0,4,0,5,24,0.75,57.53,2.8411,333.423,333.1865979,8
c1cc(Cl)ccc1C(=O)n(c(c2[10*])C)c(c23)ccc(c3)OC,TRUE,0,3,1,2,0,0,1,2,3,3,5,21,0.117647059,31.23,3.47482,298.749,298.0634813,0
COc(c1)ccc(c12)nc([*])[nH]2,TRUE,1,2,1,1,0,0,0,1,2,2,4,11,0.125,37.91,0.7461,147.157,147.0558378,0
Cc1c(OC)c(C)cnc1[7*],TRUE,0,2,1,1,0,0,0,1,1,1,3,10,0.375,22.12,0.88164,136.174,136.0762389,0
CN1C[C@@H]([3*])CCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,7,1,3.24,1.0498,98.169,98.09697438,1
c1cccc(c12)Sc3c(C2[3*])cccc3,TRUE,0,1,2,2,0,0,0,0,3,2,2,14,0.076923077,0,3.7899,197.282,197.0424963,0
c1cccc(C2[2*])c1C=Cc(c23)cccc3,TRUE,0,0,1,2,0,0,0,0,3,2,1,15,0.066666667,0,3.8091,191.253,191.0860754,0
[12*]NC(=O)c1ccc(N)cc1,TRUE,2,2,1,1,0,0,0,1,1,1,4,10,0,55.12,0.4629,135.146,135.0558378,0
COc(c1)c(OC)cc(c12)nc(N([16*])C)nc2N,TRUE,1,6,1,1,0,0,0,3,2,2,7,17,0.272727273,73.5,1.1297,233.251,233.1038507,0
[13*][C@H]1OCCC1,TRUE,0,1,0,0,0,0,0,0,1,0,2,5,1,9.23,0.6722,71.099,71.04968984,1
[15*]C1C(=O)CCCC1=O,TRUE,0,2,0,0,0,0,0,0,1,0,3,8,0.666666667,34.14,0.6463,111.12,111.0446045,0
CN1C[C@H]([16*])C=C([C@H]12)c3c4c(C2)c[nH]c4ccc3,TRUE,1,1,1,1,0,0,0,0,4,2,3,17,0.333333333,19.03,2.7592,223.299,223.1235235,2
O=S([O-])(=O)[10*],TRUE,0,3,0,0,1,-1,0,0,0,0,5,4,0,57.2,-1.0041,80.064,79.95736344,0
[11*][C@H]1NCCCC1,TRUE,1,1,0,0,0,0,0,0,1,0,2,6,1,12.03,0.6353,84.142,84.08132432,1
[*]Nc1ncccn1,TRUE,1,3,1,1,0,0,0,1,1,1,4,7,0,37.81,0.3528,94.097,94.04052213,0
